Height: 49.8501, Sum: 1000
x	y	r
18.604	25.268	0.581
19.764	25.347	0.582
20.926	25.418	0.582
22.089	25.465	0.582
23.252	25.504	0.582
24.417	25.533	0.583
0.621	24.230	0.571
1.705	24.592	0.572
2.788	24.960	0.572
3.869	25.336	0.572
4.945	25.724	0.572
6.047	26.034	0.573
7.193	26.044	0.573
8.338	25.986	0.573
9.480	26.089	0.574
10.626	26.161	0.574
11.772	26.224	0.574
12.919	26.273	0.574
14.067	26.314	0.575
15.217	26.341	0.575
16.367	26.368	0.575
17.517	26.390	0.575
18.667	26.423	0.576
19.816	26.504	0.576
20.966	26.575	0.576
22.117	26.623	0.576
23.269	26.663	0.577
24.423	26.693	0.577
0.867	25.361	0.566
1.941	25.720	0.566
3.012	26.085	0.566
4.080	26.464	0.567
5.149	26.844	0.567
6.238	27.158	0.567
7.372	27.170	0.567
8.506	27.115	0.568
9.637	27.221	0.568
10.771	27.294	0.568
11.905	27.359	0.568
13.041	27.409	0.569
14.178	27.453	0.569
15.315	27.481	0.569
16.453	27.508	0.569
17.592	27.533	0.570
18.731	27.568	0.570
19.868	27.649	0.570
21.006	27.721	0.570
22.146	27.769	0.571
23.287	27.810	0.571
24.429	27.841	0.571
0.328	26.065	0.321
1.107	26.476	0.560
2.170	26.834	0.561
3.229	27.204	0.561
4.288	27.573	0.561
5.343	27.955	0.561
6.420	28.273	0.562
7.544	28.285	0.562
8.667	28.233	0.562
9.786	28.341	0.562
10.908	28.417	0.563
12.032	28.482	0.563
13.157	28.535	0.563
14.282	28.580	0.563
15.409	28.610	0.564
16.537	28.638	0.564
17.664	28.665	0.564
18.792	28.700	0.564
19.918	28.783	0.565
21.045	28.855	0.565
22.174	28.905	0.565
23.303	28.946	0.565
24.434	28.978	0.566
0.437	27.214	0.436
1.353	27.594	0.555
2.402	27.954	0.555
3.453	28.313	0.555
4.499	28.685	0.555
5.547	29.054	0.556
6.612	29.374	0.556
7.723	29.389	0.556
8.834	29.339	0.556
9.942	29.449	0.557
11.053	29.527	0.557
12.165	29.594	0.557
13.278	29.649	0.557
14.392	29.695	0.558
15.507	29.727	0.558
16.623	29.757	0.558
17.739	29.784	0.558
18.855	29.821	0.559
19.970	29.906	0.559
21.085	29.978	0.559
22.202	30.029	0.559
23.320	30.071	0.560
24.440	30.104	0.560
0.558	28.359	0.548
1.598	28.710	0.549
2.639	29.059	0.549
3.676	29.421	0.549
4.713	29.779	0.549
5.751	30.141	0.550
6.803	30.463	0.550
7.903	30.480	0.550
9.003	30.433	0.551
10.099	30.546	0.551
11.198	30.626	0.551
12.298	30.694	0.551
13.399	30.751	0.552
14.502	30.800	0.552
15.606	30.833	0.552
16.709	30.864	0.552
17.814	30.893	0.553
18.919	30.931	0.553
20.022	31.016	0.553
21.126	31.090	0.553
22.231	31.141	0.554
23.338	31.185	0.554
24.446	31.218	0.554
0.817	29.474	0.543
1.849	29.813	0.543
2.876	30.165	0.543
3.905	30.513	0.543
4.933	30.866	0.544
5.964	31.214	0.544
7.002	31.539	0.544
8.090	31.558	0.544
9.178	31.515	0.545
10.262	31.629	0.545
11.349	31.711	0.545
12.437	31.782	0.545
13.526	31.842	0.546
14.617	31.892	0.546
15.708	31.926	0.546
16.800	31.958	0.546
17.892	31.990	0.547
18.986	32.029	0.547
20.076	32.115	0.547
21.168	32.189	0.547
22.261	32.243	0.548
23.357	32.287	0.548
24.452	32.320	0.548
0.320	30.171	0.313
1.073	30.565	0.537
2.091	30.907	0.537
3.111	31.245	0.537
4.129	31.590	0.538
5.151	31.927	0.538
6.169	32.276	0.538
7.193	32.604	0.538
8.270	32.626	0.539
9.347	32.585	0.539
10.419	32.702	0.539
11.494	32.785	0.539
12.570	32.858	0.540
13.649	32.921	0.540
14.727	32.972	0.540
15.807	33.008	0.540
16.887	33.041	0.541
17.969	33.075	0.541
19.050	33.115	0.541
20.128	33.202	0.541
21.209	33.277	0.542
22.291	33.332	0.542
23.375	33.377	0.542
24.458	33.410	0.542
0.436	31.300	0.436
1.334	31.660	0.531
2.344	31.989	0.531
3.351	32.324	0.531
4.363	32.652	0.532
5.372	32.990	0.532
6.382	33.325	0.532
7.393	33.655	0.532
8.458	33.682	0.533
9.523	33.643	0.533
10.582	33.761	0.533
11.645	33.847	0.533
12.709	33.923	0.534
13.775	33.987	0.534
14.842	34.040	0.534
15.909	34.077	0.534
16.978	34.114	0.535
18.047	34.148	0.535
19.116	34.189	0.535
20.183	34.277	0.535
21.251	34.354	0.536
22.321	34.410	0.536
23.393	34.455	0.536
24.464	34.488	0.536
0.601	32.419	0.524
1.600	32.739	0.525
2.599	33.065	0.525
3.599	33.382	0.525
4.597	33.709	0.525
5.597	34.034	0.526
6.597	34.361	0.526
7.595	34.694	0.526
8.646	34.724	0.526
9.699	34.688	0.527
10.746	34.809	0.527
11.796	34.896	0.527
12.848	34.976	0.528
13.902	35.042	0.528
14.957	35.096	0.528
16.012	35.134	0.528
17.068	35.174	0.529
18.125	35.209	0.529
19.183	35.251	0.529
20.237	35.339	0.529
21.293	35.419	0.530
